card_id,customer_id,card_number,card_type,expiration_date,security_code
15b232a2-c9c7-4e10-9652-d4b6f15e9b8b,475af934-d288-43b9-ad37-25f6dd172d38,6515106667537260,credit,11/25,748
6b406d4f-6578-4a0f-b6f4-2b7be8718644,2de7c381-4fcc-405a-bd27-b488af9a3d4f,345225313046762,credit,10/27,460
d09b7ab7-d2e1-44db-8317-2b9c699dcb54,4611e109-23cc-4205-b7d0-d250d52c2b00,180080706051079,debit,03/26,388
052b525c-06a3-432d-831c-0f4c7b2d8f87,90c13b52-4329-4c7f-908f-ad1962cbcc97,3575833028574138,credit,06/28,091
56050bae-8d23-476b-aa87-d5250b63c779,5a0d8835-67c7-4220-9f29-b42ec8e9a780,3576645785800665,credit,09/24,571
05cfba54-3f56-45f1-8391-26d556840f24,ef78f450-3fa9-4cbc-826b-6d9e49f1482e,341181232804746,debit,12/24,423
1306fe8e-eff0-4082-9e0e-719ede9d80a2,246b35fb-5ca3-4538-8c19-598b7b81ce26,2249529614030349,debit,11/27,769
bc5796c1-be57-4f83-985c-46ee9ca3111b,c52c8819-b477-43b1-959c-5d11d649abc4,4555753148880870,credit,11/25,937
5aba3833-53e3-4411-a3e1-10466788a910,0f8ae797-4084-4733-954d-ded42ca85430,30270138523512,debit,03/26,213
60a16d57-9fef-496a-9236-1918c10b3a05,ab1c2366-b09d-499e-9753-18b245528e63,4137145065724,debit,09/27,201
cff4aeb9-4741-4fca-8c5a-7890e190a0df,76d1555a-04d5-491a-9404-de3bf0b122dd,213135249045391,credit,12/24,777
585c4c37-6cdf-4d67-bb76-b10f4be342c8,835b1563-a0d4-4018-a457-162722dfcd9c,3582771745788113,debit,07/26,658
37c17ab9-e5dd-4fec-b493-74ea41963c4b,4025eb88-bfd0-4481-8de5-7cb6a2f18808,180012492262974,debit,11/27,098
d32b983c-c60e-4698-ba77-674d43534ba8,93b75efa-0249-4383-969a-790a61ad7a66,676119755483,debit,03/25,196
5d35c3fd-a726-46f7-b28f-71bc66d759fc,0b08ad88-5180-4926-a0ae-1fee384c06f8,502028000037,debit,10/27,415
cc0514d9-60c6-489a-be3e-42f0193f9280,68e538ed-f10f-461b-9e3e-3fb9cbc549c9,4206721160735515396,debit,04/25,398
d2f00518-5bf5-4501-a92f-b743003ec4c6,13676284-fec7-4267-9fec-880df34df592,5546215573481953,debit,04/26,315
3c418ee1-dc13-44f6-9593-940009488094,5aa06a91-df00-4eae-9dea-3bd83fec14b6,3546839768333383,debit,08/27,399
0eb2c21b-afc2-4151-8a5e-d95f51394a4c,c3812007-f9c7-4498-a534-1528e0b92796,4705719337800739,credit,01/25,886
f521ba8e-bc8e-401d-ba62-1741977932c1,f8815a6a-88da-4d66-b0ec-2b00eabfbf6b,4258314015375492,debit,08/26,992
5976ff3d-f335-4a64-b48e-9489a70908c9,ee26a58f-9ea8-4bd5-bd6f-99bde36a96f3,5598842415947763,credit,04/28,131
138c5955-f153-45b5-9c5f-a61e7957b905,af3e90ef-1e47-43a8-b7dc-30bf9f353b90,213122092850838,credit,01/26,668
e0dcd717-f57d-48ed-af5d-7a62d72da7e3,cf0e2693-083c-40e7-91a4-1af58bc2f0b2,2324637877747794,debit,12/24,544
e7eb82fe-0e6f-4ec1-8976-bf5ddce34bc8,972c1c65-3a88-4fb0-a5bb-1d8d1a6f1475,4083745103369437,credit,04/27,328
760ad012-dfac-4f58-bae4-43820b7f4f05,5399a797-aff6-42d5-a9f8-72c85b635697,4189493088832789,credit,02/26,904
3d7c79c1-a3fb-4fbd-b0d7-3554673135d6,ef78f450-3fa9-4cbc-826b-6d9e49f1482e,583883886884,debit,04/26,056
6c429d99-224d-4c73-82ad-6af278ee1333,4efd825f-4026-4e87-9ff3-fceb59bca4d4,630478887775,credit,04/26,686
2c74bf56-790e-466f-b093-c2caeb2c5f3f,d627a5b7-96af-492b-b769-fbfec1b5ef9a,5176445043727019,debit,02/26,531
79020c11-4869-43d0-99e2-11db231462df,09a8c654-cd95-48fe-9cd0-222cde8c895a,375686446288329,debit,08/25,268
2ee4de0a-8c92-48f6-bf3e-ee180b23cf9f,3a828cd6-25c0-4a0b-bc7c-c339b0d9ffcf,30194608914524,debit,04/25,581
ef07f0d7-e2c9-44d6-adac-d9940d401048,e66d86e3-119a-4e0f-b574-0b67509d02e1,4594138302029,credit,07/25,481
23ea454e-8267-41b0-9114-54bdab51460c,ef8a31b7-fe13-4fe2-b56f-e8d8c99caac3,378070676173724,debit,09/27,675
69fb76ef-5c9e-40f4-9973-fa95b98bf01f,3f4c0537-60df-4664-aa66-fc64dba70226,4775194861971570068,credit,05/27,128
4d8dc282-6def-4ffb-a9b1-8422fb8becb3,1da43c0f-7ca3-4c94-99f0-5903c213d05f,3563853927151865,credit,04/26,949
884b4d20-47ea-4fc4-9d6e-c743f32ccbec,df1d9a10-0045-4924-bdd3-b76df8eb60ee,342803768197612,credit,01/27,371
83f42ba4-5e55-43a4-b805-c607400951bc,55ad27a4-6f09-448d-9a4c-953e10988fa2,3555820379550241,credit,09/24,630
33e9beed-fd87-4733-8558-1311dea1e97d,d0c92cb7-1fa4-426c-a6cc-81b7e7b0fec5,38934745138509,credit,07/24,192
ae87e43b-0a5a-4eea-b660-ced1a72f629b,cf14bf18-aa2b-44b1-8736-7cee0a0abe37,3589541232226999,debit,09/27,573
ac97f1e7-dc9b-4653-8767-944c054d43e4,ece8affb-0ded-4de5-bc3e-6045bb01ccfc,4828868814880,debit,06/26,741
