employee_id,branch_id,name,position,salary,hire_date
29486215-cc75-453f-8ae7-a02664495476,06387f35-2c27-4fe2-9f0a-43ec4b4fd0ef,Benjamin Wagner,customer service,73487.24,2024-07-14
03808dba-0d95-4d85-8fdf-79204b768c41,7f7a19c5-ccd8-4947-a8b3-08966c044812,Joseph Allen,security,49841.96,2024-07-14
8e8c08c0-a180-4cf2-bf1c-afe823e65e03,ec94ad9e-e6a9-4882-be85-9f64f3292d84,James Bryant,manager,100805.04,2024-07-14
fb54c499-b3ed-4c00-83ad-f3ce53cc7343,f266da40-db76-4bbc-b8ae-99bafd21ff9a,Elizabeth Black,customer service,48728.21,2024-07-14
acdceafe-21a3-4847-ad6b-68cae04fce8e,79e8a1db-83c1-4314-9d16-e36821a345a8,Lauren Meyer,teller,95134.61,2024-07-14
6f023753-9b0d-402b-b256-63f33282e4c7,02c3b6d7-07d5-4719-b21f-03a8d385d033,Jon Mathis,manager,113454.67,2024-07-14
b250b98e-63de-41d6-914e-b585d88de58d,7c9603a3-0b21-4ce4-9667-c9d9f460fec9,Crystal Smith,security,37409.76,2024-07-14
964c5d3b-fccc-44e5-a2e8-08874c14e5cf,85bf394a-20c7-4052-b7cf-9adca637f46f,Mary Brown,customer service,61620.27,2024-07-14
20cfb285-7ed1-4afb-9e44-be1f811c9ab1,8a25781d-f375-46ec-9d35-f31e78517177,Jason Martin Jr.,security,59992.03,2024-07-14
abc315ec-f6dd-4f93-9351-6a501a0db59f,f659cdf9-f85c-4d5e-bfdd-f167647565e0,Lisa Campbell,teller,85655.58,2024-07-14
10558045-7e8e-4cf2-989b-85adfedc9eb1,bae937e7-c098-4e9b-b5b6-6b47b4bf117b,Jesse Smith,teller,96299.41,2024-07-14
75b6dd28-5da5-4ab4-89aa-04069d0fafeb,f1903c9a-d8a1-4357-bbaf-d56aab8be5b4,Scott Vega,security,81090.63,2024-07-14
8a7744e9-26c6-4609-a34b-0b33efa8232b,a6cecd1d-da7f-4e16-94a4-b6c823c0d7d8,Lisa Cruz,teller,108606.21,2024-07-14
1fe49480-df60-46dd-9d93-7182a6f4e7e2,beef985e-cdac-4e52-9a24-0ba9696fb98d,Peter Fitzgerald,customer service,107992.21,2024-07-14
c4c1a2fa-30fb-4d88-96df-3b6b764b0ecc,98fa3186-3579-4138-9dbd-b194399a57f9,John George,security,66079.23,2024-07-14
2fd59519-139e-4fed-b559-7e1e86099965,ec066809-ab21-4dcb-88fe-d1593c821a64,Vincent Adams,customer service,87933.23,2024-07-14
c3272bbf-90cf-42df-81f1-f9b65df6486b,56c47971-df1d-401b-a895-8ec7ce4d0969,Terri Sanders,teller,55880.8,2024-07-14
cfbbb8d8-7b19-4212-b3b5-d39aa8445ebf,d314c658-0b9a-484b-82bb-c7eacff98a28,Donna Thornton,teller,37875.95,2024-07-14
2aaeb0f3-cad1-4781-acf1-1a3ce74843e9,312d2527-8f72-4171-bd70-7e27964796c4,Barbara Robertson,teller,57635.15,2024-07-14
4e87ca48-7af7-46de-bc3d-ba38107c3a0b,f27f4d66-7e7e-4fde-86df-317e36bb2605,Sarah Garcia,customer service,113334.8,2024-07-14
7dd978ab-bbae-44aa-972b-ad8f24be5775,8a10f395-5098-49da-b1b1-c6728e07e2f3,Melissa Anderson,manager,81307.13,2024-07-14
a1b7546d-32c7-40dc-85e4-626be96dda67,03353cc6-da9f-4d3f-9125-0bfc910a8aa9,Kelly Rodriguez,security,50476.64,2024-07-14
0ad733ec-b496-496c-9385-84d0aff9053c,f9afa6fa-c8e8-4532-a8b4-cf4124c50cf3,Paul Franco,customer service,113140.31,2024-07-14
9bf5bb38-fd18-44e4-abe3-468fecd0daa2,bb5c1809-9a7c-4a94-b2a9-e4c8487b96b2,Joseph Parsons,customer service,78620.26,2024-07-14
0be38d3d-0759-4fd3-ab72-09e3748eb52f,c292094b-7259-40a6-bbda-895d246b5090,Dr. Timothy Ashley,security,53907.16,2024-07-14
114cd614-453c-4b51-ae2c-aa40672586a4,ec94ad9e-e6a9-4882-be85-9f64f3292d84,Eric Morgan,security,36714.02,2024-07-14
64bd33b3-f137-4a19-a00a-3bd77c9aeb2b,e805510c-8119-4732-9254-657440c08ea3,Kevin Jennings,customer service,97614.81,2024-07-14
db17971c-8ca3-4d6f-9cbc-606c702cc10c,94b19d11-a86f-41c5-af26-f86939ba5de3,Christine Goodman,security,50637.5,2024-07-14
c5fa66b2-9e61-4c19-a03e-568378735803,faaec5ce-a74c-4307-8ad2-cbaf57cd97ef,Christopher Moore,customer service,46162.44,2024-07-14
c43e8d50-7fee-4cc4-a981-38fb1fa07ac2,06387f35-2c27-4fe2-9f0a-43ec4b4fd0ef,Johnny Francis,security,117190.47,2024-07-14
dc13cad3-6c55-41d8-aa3e-8b95d3022de1,312d2527-8f72-4171-bd70-7e27964796c4,Carrie Baker,security,45279.42,2024-07-14
0355d532-12c5-412f-a422-8f83af7b082c,5cd2f02e-056a-4be8-b767-11d86962473b,Jonathan Ho,customer service,81104.48,2024-07-14
d1d49794-f588-4af5-a281-b199ea208e4e,6e7ff43c-0419-4d3e-bfc9-849f13c5d9c7,Daniel Yoder,security,61885.73,2024-07-14
7cceeafb-c358-433e-ace3-cec59e8f89c9,8a25781d-f375-46ec-9d35-f31e78517177,Brandon Scott,manager,82089.75,2024-07-14
cd81c7b3-fb3a-43cc-8530-11bf1dfc146d,e805510c-8119-4732-9254-657440c08ea3,Linda Gonzales,customer service,74653.75,2024-07-14
c8e136ac-0afd-4952-991c-1536741071f2,68496e7a-2782-4689-81c6-c2395d43391a,Mrs. Leslie Brandt DDS,teller,83091.02,2024-07-14
dd2e5dc9-b39c-4371-b794-3fcb51965456,9265c872-217e-485d-bc9b-9d16f33ce54e,Megan Holmes,customer service,51080.22,2024-07-14
c12de718-9037-4d7d-bbe0-1667fc2d4bd1,c3a6e591-6fcf-4194-ac06-4cd7cb881d6e,Kenneth Henderson,customer service,71706.29,2024-07-14
d523bdb8-8f97-4116-abe0-73b8fb7bf8b8,297096e3-3b3f-4a78-a560-fea55bb882f8,Lauren Johnson,teller,40928.73,2024-07-14
70b0ee45-275a-4424-8923-a585bd5a80fa,0a0eff7e-c3cb-44fd-8941-7dc42fc1d6a4,Carolyn Mason,teller,112787.48,2024-07-14
e7120089-4512-47e0-8256-be8dc75d64ca,a2d46bdc-a8ef-459f-a1e8-13447a34787d,Christopher Warren,teller,107828.01,2024-07-14
39759e80-f273-4ed0-ae8d-cfea6f07c373,73f9d3c0-ef64-4ec3-b7ae-a8a9412cfac2,Peter Brooks,security,104450.93,2024-07-14
b7b52642-4b83-4c61-b99a-eb66db60eaf1,c7b18b2e-e2f1-4f6f-8bfc-16867e8db3cc,John Norman,security,56876.98,2024-07-14
a50184f9-27c0-43a6-9b75-360fc676490d,a6cecd1d-da7f-4e16-94a4-b6c823c0d7d8,Rachel Williams,manager,41811.64,2024-07-14
1204e35a-282b-41fd-a3f5-52dce10259a6,297096e3-3b3f-4a78-a560-fea55bb882f8,Sydney Drake,customer service,54815.6,2024-07-14
1b8d6983-4225-4166-bd02-1400c143159f,f9afa6fa-c8e8-4532-a8b4-cf4124c50cf3,Alexandra Reed,security,51888.07,2024-07-14
c65ca5bb-136e-436e-bfa3-d0b0bfd731c6,d38b92ef-6b9d-4f02-97a9-0e122245c64b,Michael Farrell,teller,106615.85,2024-07-14
5068c5bb-496f-4d44-8dee-aca73ec7fab8,4f91d2d4-e1c2-4b4f-b00e-215aa1b08b73,Mindy Salazar,security,105207.19,2024-07-14
5fb597e0-1916-4c97-a340-a201aeda1ded,e270e126-6c0b-4c49-9b99-e47aa69ad924,James Scott,teller,94147.23,2024-07-14
a90cbf36-c67b-409b-91a6-03252463184a,8a10f395-5098-49da-b1b1-c6728e07e2f3,Carrie Delgado,manager,47548.07,2024-07-14
b08f46a1-c234-4583-9904-10a2550952a8,4056d83c-dff5-4dff-b9e4-8b0214ec7c3e,Sara Holloway,security,42194.71,2024-07-14
fd6606fd-9afd-4635-ab8f-d9e2665c5936,1457a165-a549-4493-b3fd-ba484a05e592,Dalton Ellis,security,58415.67,2024-07-14
9bc08e49-0cd8-440f-827e-8f5e264546b9,1c3dfa06-1876-4db0-9d3b-48064736e60b,Willie Tran,customer service,78761.75,2024-07-14
bf50ea9c-5ffc-4cff-a607-a7dd358f8423,c3a6e591-6fcf-4194-ac06-4cd7cb881d6e,Lori Patterson MD,security,78178.9,2024-07-14
