card_id,customer_id,card_number,card_type,expiration_date,security_code
911b4156-3838-4f3a-8ea5-0f6d7763d69c,58cb5cbf-8414-4193-9143-ea4ae61a2d22,180032118464028,debit,07/29,158
12685d5c-ec67-4565-a1ef-5c6e5d698e50,6989105c-1262-4d7f-95a4-42ad0730c7f9,4991745724588485640,debit,08/27,1868
58289a5d-c6c7-4246-957a-90816b6eda65,b98baef0-3c24-4f12-81cf-a043cc1c34a7,4347048312840526,credit,07/33,604
c34cf245-3359-4660-acdf-8540aa92cf3c,6f069cc7-3f94-4b8c-8fe9-e5ec2d6c4785,4201060857943,credit,08/26,978
b138f0a7-4c10-4fc5-9560-5d34d9fb468a,add9b3a1-8478-469d-82f0-cb496adad402,213159058846558,debit,07/30,107
0e2c639c-164e-40a3-a475-5c49130c4937,6d623f26-d6fb-458e-a37b-a3ac7d24357f,3530028367169285,credit,01/30,139
d5e68310-e4bc-4497-b409-f49f2a44d2cb,0538775f-2f05-4815-b275-6be9d0b05d4e,4754408712538235,credit,01/25,636
89b4edd0-6405-4a43-9af4-ef174746a77d,84d54ea8-c179-4997-a4cf-7de7b22437b8,676119609466,debit,05/32,418
e5fca0b6-0f2b-4501-9527-eb55da7edecf,50500d7f-668a-4f75-b908-57e8c18037a0,2712467736249794,credit,02/26,322
96f384d5-c121-47c5-a205-db169c8367aa,f7149c3b-4e78-41bf-a7b7-067eae4fdf42,180046248207115,credit,09/31,737
b983d823-480e-4351-9229-37c1a7afde60,cca08833-8c4f-40d5-826c-b20555da2895,180021087338065,debit,05/30,565
9bf07618-8821-4e5a-ba14-b3b96a138372,61f8efa2-8051-40ce-9f4f-bed461858894,3554314335264072,debit,12/30,324
6db052c4-a738-4580-a0c5-07ae60d36248,8f61d993-8802-4780-a487-071810088646,3549170460450888,debit,12/25,625
298b3c9b-a895-4f30-a612-3c21a933007a,edb43609-8fad-4912-a5f9-d8c4288dcd59,5244982144532813,debit,01/34,254
3215e097-bb28-4f68-8cd0-b4a4bf6671fe,a22c9e36-3dfd-489d-8c0f-4e13f1cc435e,2239487588429488,credit,05/33,404
0ea5bba4-07fc-473c-b9d5-ca6a8ae2eddd,69b549ce-4b63-4d59-a9b2-07ec95ce40e1,4050814991719608363,debit,03/28,734
7f0b7af5-3f87-46a4-99cf-7ccba59fb5e7,1ffa2351-3278-478e-8f94-0c86b502db9a,348663154801589,credit,04/25,768
9af25bf9-bc7c-46ab-898d-216a64ee9590,e159a44c-3406-4ba0-84c0-41280ce87e6a,375480250773794,credit,12/24,061
97ac3fe2-dd22-41dd-b9d8-382a0cf03d65,b160d961-7b78-4ae6-b631-71dc356afd13,6536117248771398,debit,10/25,4679
659743a5-ac28-4b37-a70a-3b4fb9ed7dbc,0a6c2982-f5ae-4355-bdcd-bd81506f2368,4665611784625347,debit,10/26,3026
c566d960-f8dd-4f73-864e-ec5f2312edf0,6d236ade-7ed0-4e2f-b89b-32c5b0402573,4514498772191968,credit,09/26,387
d19fab43-06e4-4fda-8b68-adb49f48ff39,b60af8cb-1ec8-4dab-9664-72fafd0d34d7,2325994196349995,debit,11/31,629
ae2f4ef5-afac-426a-89a9-2c5d0457d978,2d1886e8-ffdb-4365-91f6-0415b80073ba,3595681100994070,debit,06/27,854
7ce400cd-08a6-4237-b343-bffdf1a4d9de,8364516c-b12f-447b-877d-4b8c895b2254,502016981206,debit,01/32,095
0cfb803f-9c6b-4f76-81b5-71eaf98647f1,b6f85232-6a2e-4801-be21-f43b9780740c,373472122143977,credit,09/30,363
1dad5462-7f11-4283-81c8-f28484b93c74,e0135995-36a9-4169-9bfe-302f3b743705,4967629730342606,credit,12/28,174
cc12dd30-a639-4c89-a013-0de87df45c11,219a68fd-fd7e-4e2b-b13c-9a4cc2678cfe,30457228370884,debit,08/31,878
1d2db523-d0f4-4d90-9d6e-adc9aa4d61de,8bfaef76-484c-4297-83e8-0893e5de909c,503866276325,credit,03/32,345
e672b784-6b17-49fc-ac64-917dcec19ec8,9cf7a93e-0ae0-4cc3-991a-e45c8b5b3d8b,4666448757959,credit,05/34,076
42a317b8-fee2-428f-999f-e2594a71ae69,cfaf0afa-7401-4043-8fd2-8c204c154be8,3591975295021218,credit,06/32,742
2c1e5827-73de-4e07-aa4e-73b18752645d,ecda06b7-bb25-47d4-8fc3-94ba8cffb860,4831032948121,credit,06/26,826
c9126173-77b8-4167-a254-6b2593cacaf5,53c02ebf-861a-4078-8d5d-4ef58d94261b,4557531901424,credit,05/28,857
d80372cd-9826-41c4-8f30-19ae44764c9a,08a04d82-01c2-4056-9185-e02093a6d0a1,4718163409771334801,debit,02/30,472
f80c4b3c-1ad0-4acc-81f0-7163d5c2060f,1c744175-72e0-43c9-b760-4d7f4dfa41d2,340884016987147,debit,08/27,028
78396603-d680-44d5-b074-1f426aaaceab,1c1f4e37-e5e0-4f67-92b2-234ca173f9bb,2278740881779344,credit,12/31,625
2f19c7ab-34e7-4e50-b029-2f4ef9c66ac3,80880650-6c72-490c-a993-d80badbe435e,4119385727119534,debit,12/32,645
b0d36faa-9f28-40ee-b8bf-b1d8fef78e9c,229412f2-53c0-4fef-8315-f90a148188e3,36819153278610,credit,02/34,416
9a3dc85f-b27c-428f-8020-d3883058c0dd,cf4e16da-45de-4f7c-b9ab-ff3bb19885ad,4859534624304525,credit,09/32,597
339ef173-c385-4506-bb02-5c9500cd6fcc,9f67c3a2-319c-4191-981a-5db3a86549ac,3541686453202067,credit,02/25,807
6b89d282-0454-4be8-8404-b628a24f0eef,12ba1346-2d0b-4445-9e8d-76d6cd5a3445,4414027675387,credit,03/28,6754
071661e0-083d-48b4-a440-9dadbeeae7c2,5f71ae00-24ab-4904-83ed-7b9ac5c954f9,4468469828867816,debit,07/29,726
3f6fd89c-70c7-4a4f-b242-fda97d42df9e,ddf987d9-3aa9-400f-b996-0d8922ca61f7,30588665976997,debit,03/33,220
80595718-e1e2-421a-8df8-182baa2366b7,62995039-e951-4961-baab-c25139fcd4ee,3534188981903042,debit,12/29,438
52f4a2d8-e1d7-4b35-8734-a6904dd7b9d5,9fb494d1-21b1-4240-99a8-760e061779b6,4224588920501570,credit,12/24,960
3af04bab-1e7b-4efd-b554-40048933dd5c,44344b23-d1ae-47c6-824a-4c135c80a1df,4796508846771691,debit,03/31,996
981b4c58-26d7-4612-9ff7-93b3f4816b34,277fca6b-ed90-45c8-8e17-10656ab14da6,30459980035952,debit,05/33,314
fe04510b-eb5d-492a-befd-d285d145c092,934548ee-ca21-4121-884a-443d18182290,3507440653542688,debit,03/25,144
29e1c094-00eb-4848-a8a0-dd7e4ddbb290,9794eccb-93b5-4aa2-8fb2-d7c60e260aa3,676219147367,credit,02/26,527
65b4ee47-c9ef-4294-a080-b5ceb6ed717f,2e268685-3fd5-4c6d-818e-8ace95474d8b,4272143790230583549,debit,02/34,491
88983b09-dbc9-471e-b6bb-eb86cb385fe2,12ba1346-2d0b-4445-9e8d-76d6cd5a3445,213118448154115,debit,06/32,310
